Average_Price,Destination,Source,Weekend_Date
259.0,DFW,BOS,2017-28
259.0,DFW,BOS,2017-29
248.0,DFW,BOS,2017-30
0.0,DFW,BOS,2017-31
258.0,DFW,BOS,2017-32
0.0,DFW,BOS,2017-33
0.0,DFW,BOS,2017-34
804.6666666666666,LAX,BOS,2017-16
524.5,LAX,BOS,2017-17
332.5,LAX,BOS,2017-18
304.3333333333333,LAX,BOS,2017-19
359.3333333333333,LAX,BOS,2017-20
400.0,LAX,BOS,2017-21
314.0,LAX,BOS,2017-22
255.0,LAX,BOS,2017-23
253.0,LAX,BOS,2017-24
475.5,LAX,BOS,2017-25
410.0,LAX,BOS,2017-26
422.0,LAX,BOS,2017-27
323.25,LAX,BOS,2017-28
340.0,LAX,BOS,2017-29
398.0,LAX,BOS,2017-30
472.3333333333333,LAX,BOS,2017-31
447.0,LAX,BOS,2017-32
400.0,LAX,BOS,2017-33
432.3333333333333,LAX,BOS,2017-34
686.0,ORD,BOS,2017-16
370.0,ORD,BOS,2017-17
321.5,ORD,BOS,2017-18
255.0,ORD,BOS,2017-19
337.0,ORD,BOS,2017-20
363.0,ORD,BOS,2017-21
337.0,ORD,BOS,2017-22
305.0,ORD,BOS,2017-23
277.0,ORD,BOS,2017-24
305.0,ORD,BOS,2017-25
307.5,ORD,BOS,2017-26
277.0,ORD,BOS,2017-27
322.0,ORD,BOS,2017-28
322.0,ORD,BOS,2017-29
296.0,ORD,BOS,2017-30
277.0,ORD,BOS,2017-31
214.0,ORD,BOS,2017-32
259.0,ORD,BOS,2017-33
189.0,ORD,BOS,2017-34
650.0,CLT,BOS,2017-16
457.0,CLT,BOS,2017-17
417.0,CLT,BOS,2017-18
312.0,CLT,BOS,2017-19
354.0,CLT,BOS,2017-20
359.5,CLT,BOS,2017-21
262.0,CLT,BOS,2017-22
283.0,CLT,BOS,2017-23
336.5,CLT,BOS,2017-24
307.0,CLT,BOS,2017-25
277.0,CLT,BOS,2017-26
0.0,CLT,BOS,2017-27
323.0,CLT,BOS,2017-28
365.5,CLT,BOS,2017-29
339.0,CLT,BOS,2017-30
355.0,CLT,BOS,2017-31
357.0,CLT,BOS,2017-32
307.0,CLT,BOS,2017-33
323.0,CLT,BOS,2017-34
912.3333333333334,SEA,BOS,2017-16
571.3333333333334,SEA,BOS,2017-17
319.5,SEA,BOS,2017-18
412.3333333333333,SEA,BOS,2017-19
492.3333333333333,SEA,BOS,2017-20
614.3333333333334,SEA,BOS,2017-21
394.5,SEA,BOS,2017-22
516.6666666666666,SEA,BOS,2017-23
416.5,SEA,BOS,2017-24
612.3333333333334,SEA,BOS,2017-25
725.3333333333334,SEA,BOS,2017-26
647.3333333333334,SEA,BOS,2017-27
600.3333333333334,SEA,BOS,2017-28
625.3333333333334,SEA,BOS,2017-29
562.0,SEA,BOS,2017-30
589.3333333333334,SEA,BOS,2017-31
705.0,SEA,BOS,2017-32
665.0,SEA,BOS,2017-33
672.0,SEA,BOS,2017-34
480.0,PHL,BOS,2017-16
256.0,PHL,BOS,2017-17
238.0,PHL,BOS,2017-18
282.0,PHL,BOS,2017-19
253.0,PHL,BOS,2017-20
241.0,PHL,BOS,2017-21
245.0,PHL,BOS,2017-22
249.5,PHL,BOS,2017-23
194.0,PHL,BOS,2017-24
205.0,PHL,BOS,2017-25
0.0,PHL,BOS,2017-26
177.0,PHL,BOS,2017-27
186.0,PHL,BOS,2017-28
194.0,PHL,BOS,2017-29
186.0,PHL,BOS,2017-30
178.0,PHL,BOS,2017-31
0.0,PHL,BOS,2017-32
186.0,PHL,BOS,2017-33
178.0,PHL,BOS,2017-34
999.0,PDX,BOS,2017-16
461.5,PDX,BOS,2017-17
549.0,PDX,BOS,2017-18
517.3333333333334,PDX,BOS,2017-19
444.8333333333333,PDX,BOS,2017-20
482.5,PDX,BOS,2017-21
462.0,PDX,BOS,2017-22
552.0,PDX,BOS,2017-23
531.0,PDX,BOS,2017-24
637.0,PDX,BOS,2017-25
705.6666666666666,PDX,BOS,2017-26
602.3333333333334,PDX,BOS,2017-27
0.0,PDX,BOS,2017-28
0.0,PDX,BOS,2017-29
699.6666666666666,PDX,BOS,2017-30
767.0,PDX,BOS,2017-31
0.0,PDX,BOS,2017-32
702.3333333333334,PDX,BOS,2017-33
809.0,PDX,BOS,2017-34
423.0,LGA,BOS,2017-16
238.0,LGA,BOS,2017-17
156.0,LGA,BOS,2017-18
140.0,LGA,BOS,2017-19
168.0,LGA,BOS,2017-20
130.0,LGA,BOS,2017-21
139.0,LGA,BOS,2017-22
141.0,LGA,BOS,2017-23
130.0,LGA,BOS,2017-24
156.0,LGA,BOS,2017-25
117.0,LGA,BOS,2017-26
117.0,LGA,BOS,2017-27
117.0,LGA,BOS,2017-28
117.0,LGA,BOS,2017-29
169.0,LGA,BOS,2017-30
118.0,LGA,BOS,2017-31
117.0,LGA,BOS,2017-32
0.0,LGA,BOS,2017-33
118.0,LGA,BOS,2017-34
783.5,PHX,BOS,2017-16
476.5,PHX,BOS,2017-17
367.0,PHX,BOS,2017-18
333.5,PHX,BOS,2017-19
443.0,PHX,BOS,2017-20
491.0,PHX,BOS,2017-21
397.5,PHX,BOS,2017-22
375.0,PHX,BOS,2017-23
368.0,PHX,BOS,2017-24
446.5,PHX,BOS,2017-25
0.0,PHX,BOS,2017-26
0.0,PHX,BOS,2017-27
366.0,PHX,BOS,2017-28
404.5,PHX,BOS,2017-29
0.0,PHX,BOS,2017-30
434.0,PHX,BOS,2017-31
0.0,PHX,BOS,2017-32
0.0,PHX,BOS,2017-33
0.0,PHX,BOS,2017-34
574.0,PIT,BOS,2017-16
368.0,PIT,BOS,2017-17
228.0,PIT,BOS,2017-18
258.0,PIT,BOS,2017-19
321.0,PIT,BOS,2017-20
341.0,PIT,BOS,2017-21
217.0,PIT,BOS,2017-22
218.0,PIT,BOS,2017-23
238.0,PIT,BOS,2017-24
341.0,PIT,BOS,2017-25
295.0,PIT,BOS,2017-26
208.0,PIT,BOS,2017-27
283.0,PIT,BOS,2017-28
278.5,PIT,BOS,2017-29
0.0,PIT,BOS,2017-30
0.0,PIT,BOS,2017-31
322.0,PIT,BOS,2017-32
0.0,PIT,BOS,2017-33
0.0,PIT,BOS,2017-34
369.0,RIC,BOS,2017-16
189.0,RIC,BOS,2017-17
317.0,RIC,BOS,2017-18
528.5,RIC,BOS,2017-19
389.0,RIC,BOS,2017-20
246.0,RIC,BOS,2017-21
295.5,RIC,BOS,2017-22
288.0,RIC,BOS,2017-23
288.0,RIC,BOS,2017-24
0.0,RIC,BOS,2017-25
0.0,RIC,BOS,2017-26
0.0,RIC,BOS,2017-27
217.0,RIC,BOS,2017-28
189.0,RIC,BOS,2017-29
190.0,RIC,BOS,2017-30
0.0,RIC,BOS,2017-31
0.0,RIC,BOS,2017-32
0.0,RIC,BOS,2017-33
