Airport,City,Continent,Country,IATA/FAA,Latitude,Longitude
Bamiyan,Bamiyan,Asia,Afghanistan,BIN,34.804167,67.823611
Bost,Bost,Asia,Afghanistan,BST,31.55,64.366667
Chakcharan,Chakcharan,Asia,Afghanistan,CCN,34.533333,65.266667
Farah,Farah,Asia,Afghanistan,FAH,32.366667,62.116667
Faizabad,Faizabad,Asia,Afghanistan,FBD,37.1,70.566667
Herat,Herat,Asia,Afghanistan,HEA,34.206944,62.226667
Jalalabad,Jalalabad,Asia,Afghanistan,JAA,34.399167,70.499444
Kabul,Kabul,Asia,Afghanistan,KBL,34.563889,69.213889
Kandahar,Kandahar,Asia,Afghanistan,KDH,31.506944,65.8475
Maimana,Maimana,Asia,Afghanistan,MMZ,35.916667,64.733333
Mazar-I-Sharif,Mazar-I-Sharif,Asia,Afghanistan,MZR,36.704167,67.208333
Sharana Airstrip,Sharana,Asia,Afghanistan,OAS,33.126028,68.838639
Tirinkot,Tirinkot,Asia,Afghanistan,TII,32.615448,65.864153
Kunduz,Kunduz,Asia,Afghanistan,UND,36.660556,68.909167
Zaranj,Zaranj,Asia,Afghanistan,ZAJ,31.1,61.983333
Yerevan,Yerevan,Asia,Armenia,EVN,40.15,44.4
Gyoumri,Gyoumri,Asia,Armenia,LWN,40.751667,43.86
Baku Heydar Aliyev International,Baku,Asia,Azerbaijan,GYD,40.470457,50.047531
Gyandzha,Gyandzha,Asia,Azerbaijan,KVD,40.733333,46.316667
Lankaran International,Lankaran,Asia,Azerbaijan,LLK,38.74203,48.824093
Nakhichevan,Nakhichevan,Asia,Azerbaijan,NAJ,39.190278,45.458889
Qabala,Qabala,Asia,Azerbaijan,GBB,40.826667,47.7125
Barisal,Barisal,Asia,Bangladesh,BZL,22.8,90.3
Chittagong,Chittagong,Asia,Bangladesh,CGP,22.2575,91.825556
Cox's Bazar,Cox's Bazar,Asia,Bangladesh,CXB,21.45,91.966667
Dhaka,Dhaka,Asia,Bangladesh,DAC,23.84333,90.39778
Jessore,Jessore,Asia,Bangladesh,JSR,23.181111,89.163889
Rajshahi,Rajshahi,Asia,Bangladesh,RJH,24.433333,88.616667
Saidpur,Saidpur,Asia,Bangladesh,SPD,25.783333,88.9
Sylhet,Sylhet,Asia,Bangladesh,ZYL,24.958889,91.874444
Paro,Paro,Asia,Bhutan,PBH,27.433333,89.416667
Baise,Baise,Asia,China,AEB,23.7172,106.9506
Aba/Hongyuan,Aba/Hongyuan,Asia,China,AHJ,32.529167,102.356944
Arxan Airport,Arxan,Asia,China,YIE,47.1777,119.944
Bijie Feixiong,Bijie,Asia,China,BFJ,27.300278,105.301389
Beijing Nanyuan,Beijing,Asia,China,NAY,40.073611,116.608333
Beijing Capital,Beijing,Asia,China,PEK,40.066667,116.6
Bole Alashankou,Bole,Asia,China,BPL,44.904167,82.024167
Ba Tong,Ba Tong,Asia,China,YUS,32.83641,97.037025
Burqin,Burqin,Asia,China,KJI,48.22111,86.998055
Altay,Altay,Asia,China,AAT,47.75223,88.08738
Xingyi,Xingyi,Asia,China,ACX,25.085556,104.959444
Aksu,Aksu,Asia,China,AKU,41.166667,80.333333
Anshan,Anshan,Asia,China,AOG,41.166667,123.033333
Anqing,Anqing,Asia,China,AQG,30.516667,117.033333
An Shun,An Shun,Asia,China,AVA,26.257222,105.872778
Alxa Left Banner Bayanhot Airport,Alxa League,Asia,China,AXF,38.4924,105.3751
Baotou,Baotou,Asia,China,BAV,40.666667,109.983333
Beihai,Beihai,Asia,China,BHY,21.5394,109.294
Bangda,Bangda,Asia,China,BPX,30.555833,97.106667
Baoshan,Baoshan,Asia,China,BSD,25.15,99.15
Guangzhou,Guangzhou,Asia,China,CAN,23.39244,113.29879
Changde,Changde,Asia,China,CGD,29.066667,111.583333
Zhengzhou,Zhengzhou,Asia,China,CGO,34.51967,113.84089
Changchun,Changchun,Asia,China,CGQ,43.99621,125.68536
Chaoyang,Chaoyang,Asia,China,CHG,41.5381,120.435
Chifeng,Chifeng,Asia,China,CIF,42.23333,118.90944
Changzhi,Changzhi,Asia,China,CIH,36.183333,113.133333
Chongqing,Chongqing,Asia,China,CKG,29.719167,106.641667
Changsha,Changsha,Asia,China,CSX,28.186667,113.221667
Changsha Huanghua International,Changsha,Asia,China,HHA,28.233333,113.15
Chengdu,Chengdu,Asia,China,CTU,30.578611,103.947222
Changzhou,Changzhou,Asia,China,CZX,31.9197,119.779
Datong,Datong,Asia,China,DAT,40.0603,113.482
Daxian,Daxian,Asia,China,DAX,31.131485,107.427631
Daocheng Yading,Daocheng County,Asia,China,DCY,29.1923,100.0312
Dandong,Dandong,Asia,China,DDG,40.033595,124.286528
Diqing,Diqing,Asia,China,DIG,27.789722,99.677778
Dalian,Dalian,Asia,China,DLC,38.966667,121.55
Dali City,Dali City,Asia,China,DLU,25.666667,100.316667
Dunhuang,Dunhuang,Asia,China,DNH,40.2,94.683333
Dongying,Dongying,Asia,China,DOY,37.518333,118.787778
Dongsheng,Dongsheng,Asia,China,DSN,39.49387,109.86174
Dayong,Dayong,Asia,China,DYG,29.133333,110.483333
Enshi,Enshi,Asia,China,ENH,30.283333,109.316667
Yan'an,Yan'an,Asia,China,ENY,36.63785,109.55223
Fuzhou,Fuzhou,Asia,China,FOC,25.93506,119.66327
Fuyang,Fuyang,Asia,China,FUG,32.866667,115.7
Fuoshan,Fuoshan,Asia,China,FUO,23.133333,113.283333
Fuyuan Airport,Fuyuan,Asia,China,FYJ,48.199494,134.366447
Fuyun,Fuyun,Asia,China,FYN,47.25,89.616667
Golmud,Golmud,Asia,China,GOQ,36.4006,94.7861
Guang Yuan,Guang Yuan,Asia,China,GYS,32.395,105.699722
Haikou,Haikou,Asia,China,HAK,19.934722,110.458889
Heihe,Heihe,Asia,China,HEK,50.216667,127.433333
Hohhot,Hohhot,Asia,China,HET,40.853333,111.821667
Hefei,Hefei,Asia,China,HFE,31.78,117.298333
Hangzhou,Hangzhou,Asia,China,HGH,30.229444,120.434444
Hailar,Hailar,Asia,China,HLD,49.2,119.7
Ulanhot,Ulanhot,Asia,China,HLH,46.033333,122
Hami,Hami,Asia,China,HMI,42.916667,93.416667
Hengyang,Hengyang,Asia,China,HNY,26.85,112.5
Harbin,Harbin,Asia,China,HRB,45.623333,126.250278
Zhoushan,Zhoushan,Asia,China,HSN,29.9342,122.362
Huizhou,Huizhou,Asia,China,HUZ,23.083333,114.366667
Huangyan,Huangyan,Asia,China,HYN,28.564,121.42746
Hanzhong,Hanzhong,Asia,China,HZG,32.983333,107.183333
Yinchuan,Yinchuan,Asia,China,INC,38.35,106.35
Qiemo,Qiemo,Asia,China,IQM,38.133333,85.533333
Qingyang,Qingyang,Asia,China,IQN,36.1,107.783333
Jingdezhen,Jingdezhen,Asia,China,JDZ,29.266667,117.183333
Jiagedaqi Airport,Jiagedaqi District,Asia,China,JGD,50.2512,124.0412
Jiayuguan,Jiayuguan,Asia,China,JGN,39.86054,98.34085
Ji An,Ji An,Asia,China,JGS,26.85534,114.73265
Xishuangbanna Gasa,Jinghong,Asia,China,JHG,21.972897,100.7657
Jiujiang,Jiujiang,Asia,China,JIU,29.483685,115.802681
Jinjiang,Jinjiang,Asia,China,JJN,24.883333,118.6
Jiamusi,Jiamusi,Asia,China,JMU,46.833333,130.35
Jining,Jining,Asia,China,JNG,35.29276,116.33444
Jinzhou,Jinzhou,Asia,China,JNZ,41.116667,121.016667
Juzhou,Juzhou,Asia,China,JUZ,28.9658,118.899
Song Pan,Song Pan,Asia,China,JZH,32.856667,103.683056
Kuqa,Kuqa,Asia,China,KCA,41.7181,82.9869
Kashi,Kashi,Asia,China,KHG,39.542778,76.02
Nanchang,Nanchang,Asia,China,KHN,28.865,115.9
Kunming,Kunming,Asia,China,KMG,24.9925,102.743333
Ganzhou,Ganzhou,Asia,China,KOW,25.9,114.916667
Korla,Korla,Asia,China,KRL,41.733333,86.15
Karamay,Karamay,Asia,China,KRY,45.616667,84.883333
Guiyang,Guiyang,Asia,China,KWE,26.538611,106.800833
Guilin,Guilin,Asia,China,KWL,25.218056,110.039167
Longyan,Longyan,Asia,China,LCX,25.675556,116.745556
Lanzhou,Lanzhou,Asia,China,LHW,36.033333,103.866667
Lijiang City,Lijiang City,Asia,China,LJG,26.683333,100.25
Libo Airport,Libo County,Asia,China,LLB,25.2709,105.5742
LingLing,LingLing,Asia,China,LLF,26.700833,111.9575
Lvliang Airport,Lvliang,Asia,China,LLV,37.41,111.0834
Lincang,Lincang,Asia,China,LNJ,23.738889,100.024167
Dehong Mangshi,Luxi,Asia,China,LUM,24.45,98.6
Lhasa Gonggar,Lhasa,Asia,China,LXA,29.297778,90.911944
Luoyang,Luoyang,Asia,China,LYA,34.683333,112.466667
Lianyungang,Lianyungang,Asia,China,LYG,34.666667,119.183333
Linyi,Linyi,Asia,China,LYI,35.066667,118.366667
Liuzhou,Liuzhou,Asia,China,LZH,24.2075,109.391
Luzhou,Luzhou,Asia,China,LZO,28.883333,105.35
Mudanjiang,Mudanjiang,Asia,China,MDG,44.583333,129.6
Meixian,Meixian,Asia,China,MXZ,24.35,116.133333
Nanchong,Nanchong,Asia,China,NAO,30.8,106.066667
Qiqihar,Qiqihar,Asia,China,NDG,47.316667,123.916667
Ningbo,Ningbo,Asia,China,NGB,29.824722,121.465
Nanking / Nanjing,Nanking / Nanjing,Asia,China,NKG,31.74204,118.86202
Nanning,Nanning,Asia,China,NNG,22.608333,108.1725
Nanyang,Nanyang,Asia,China,NNY,33,112.533333
Nantong,Nantong,Asia,China,NTG,32.066667,120.966667
Pan Zhi Hua,Pan Zhi Hua,Asia,China,PZI,26.53817,101.7944
Bayannur Tianjitai Airport,Bayannur,Asia,China,RLK,40.5535,107.442
Shanghai Pu Dong,Shanghai,Asia,China,PVG,31.15,121.78
Shanghai Hongqiao,Shanghai,Asia,China,SHA,31.2,121.333333
Shenyang,Shenyang,Asia,China,SHE,41.636999,123.487144
Shanhaiguan,Shanhaiguan,Asia,China,SHF,40.016667,119.733333
Qinhuangdao,Qinhuangdao,Asia,China,SHP,39.9681,119.731
Shijiazhuang,Shijiazhuang,Asia,China,SJW,38.280556,114.697222
Shantou,Shantou,Asia,China,SWA,23.42978,116.75952
Simao,Simao,Asia,China,SYM,22.833333,101
Sanya,Sanya,Asia,China,SYX,18.3,109.4
Shenzhen Bao'an International,Shenzhen,Asia,China,SZX,22.64,113.808333
Qingdao,Qingdao,Asia,China,TAO,36.266111,120.374444
Tacheng,Tacheng,Asia,China,TCG,46.666667,83.333333
Tongren,Tongren,Asia,China,TEN,27.633333,109.05
Tongliao,Tongliao,Asia,China,TGO,43.616667,122.25
Tonghua,Tonghua,Asia,China,TNH,41.75,125.95
Tianjin,Tianjin,Asia,China,TSN,39.118889,117.346944
Tunxi,Tunxi,Asia,China,TXN,29.733333,118.3
Taiyuan,Taiyuan,Asia,China,TYN,37.75,112.616667
Urumqi,Urumqi,Asia,China,URC,43.9,87.483333
Yulin,Yulin,Asia,China,UYN,38.2692,109.731
Weifang,Weifang,Asia,China,WEF,36.75,119.216667
Weihai,Weihai,Asia,China,WEH,37.1871,122.229
Wuhu,Wuhu,Asia,China,WHU,31.366667,118.366667
Wenzhou,Wenzhou,Asia,China,WNZ,27.9122,120.852
Wu Hai,Wu Hai,Asia,China,WUA,39.794722,106.799167
Wuhan,Wuhan,Asia,China,WUH,30.783889,114.208056
Wuyishan,Wuyishan,Asia,China,WUS,27.716667,117.966667
Wuxi,Wuxi,Asia,China,WUX,31.583333,120.316667
Wuzhou,Wuzhou,Asia,China,WUZ,23.5,111.333333
Wanxian,Wanxian,Asia,China,WXN,30.8361,108.406
Xiangfan,Xiangfan,Asia,China,XFN,32.1506,112.291
Xichang,Xichang,Asia,China,XIC,27.966667,102.216667
Xilinhot,Xilinhot,Asia,China,XIL,43.966667,116.066667
Xiamen,Xiamen,Asia,China,XMN,24.544167,118.127778
Xining,Xining,Asia,China,XNN,36.52556,102.03747
Xuzhou,Xuzhou,Asia,China,XUZ,34.056144,117.554998
Yibin,Yibin,Asia,China,YBP,28.816667,104.533333
Yichang,Yichang,Asia,China,YIH,30.551618,111.483765
Yining,Yining,Asia,China,YIN,43.916667,81.233333
Yiwu,Yiwu,Asia,China,YIW,29.266667,120.05
Yanji,Yanji,Asia,China,YNJ,42.8828,129.451
Yantai,Yantai,Asia,China,YNT,37.55,121.333333
Yancheng,Yancheng,Asia,China,YNZ,33.385556,120.125278
Zhangye Ganzhou Airport,Zhangye,Asia,China,YZY,38.4807,100.403
Zhaotong,Zhaotong,Asia,China,ZAT,27.316667,103.8
Zhanjiang,Zhanjiang,Asia,China,ZHA,21.266667,110.466667
Zhuhai,Zhuhai,Asia,China,ZUH,22,113.366667
Zunyi,Zunyi,Asia,China,ZYI,27.666667,106.833333
Daqing,Daqing,Asia,China,DQA,46.59,125.02
Erenhot,Erenhot,Asia,China,ERL,43.426674,112.09845
Gannan Xiahe,Xiahe,Asia,China,GXH,34.8106,102.6447
Liupanshan,Guyuan,Asia,China,GYU,36.076111,106.218056
Huai'an Lianshui Airport,Huaian,Asia,China,HIA,33.7875,119.12778
Jin Cheng Jiang,Hechi,Asia,China,HCJ,24.783889,107.699722
Hebei Handan,Handan,Asia,China,HDG,36.5258,114.425
Huai Hua,Huai Hua,Asia,China,HJJ,27.43738,109.7002
Hotan,Hotan,Asia,China,HTN,37.03852,79.86493
Hongping,Shennongjia,Asia,China,HPG,31.633611,110.338056
Huatugou,Huatugou,Asia,China,HTT,38.251766,90.888496
Liping City,Liping City,Asia,China,HZH,26.335,109.15
Jinchuan,Jinchang,Asia,China,JIC,38.541944,102.347778
Jinan Yaoqiang,Jinan,Asia,China,TNA,36.857222,117.216111
Jixi Khanka Lake,Jixi,Asia,China,JXA,45.306111,130.99666
Chizhou Jiuhuashan,Chizhou,Asia,China,JUH,30.740278,117.686667
Kangding,Kangding,Asia,China,KGT,38.1339,101.7339
Huangping,Kaili,Asia,China,KJH,26.974167,81.181389
Linfen Qiaoli,Linfen,Asia,China,LFQ,36.041944,111.492222
Liupanshui Yue Zhao,Liupanshui,Asia,China,LPF,26.609417,104.979
Lin Zhi,Lin Zhi,Asia,China,LZY,29.3033,94.3353
Mian Yang,Mian Yang,Asia,China,MIG,31.431111,104.738056
Mohe,Mohe,Asia,China,OHE,52.92113,122.42059
Changbaishan,Baishan,Asia,China,NBS,42.047916,127.562141
Luguhu,Ninglang,Asia,China,NLH,27.543806,100.757389
Xinyuan City,Xinyuan City,Asia,China,NLT,43.4322,83.3822
Manzhouli,Manzhouli,Asia,China,NZH,49.6,117.43333
Shigatse Peace Airport,Shigatse,Asia,China,RKZ,29.351667,89.306944
Shiquanhe,Shiquanhe,Asia,China,NGQ,32.103817,80.054276
Tengchong,Tengchong,Asia,China,TCZ,25.025,98.489167
Maijishan,Tianshui,Asia,China,THQ,34.558333,105.861111
Jiaohe,Turpan,Asia,China,TLQ,43.030556,89.100556
Tangshan,Tangshan,Asia,China,TVS,39.724,117.99345
Wudangshan,Shiyan,Asia,China,WDS,32.591667,110.907778
Wenshan Puzhehei,Wenshan,Asia,China,WNH,23.5583,104.325
Xinzhou Wutaishan,Xinzhou,Asia,China,WUT,38.597222,112.968056
Xi An Xianyang,Xi An,Asia,China,XIY,34.433333,108.75
Yangzhou Taizhou Airport,Yangzhou,Asia,China,YTY,32.561667,119.715
Yun Cheng,Yun Cheng,Asia,China,YCU,35.1164,111.0336
Yichun Lindu,Yichun,Asia,China,LDS,47.751827,129.01799
Yichun,Yichun,Asia,China,YIC,27.4812,114.1829
Zhangjiakou,Zhangjiakou,Asia,China,ZQZ,40.738611,114.930278
Zhongwei,Zhongwei,Asia,China,ZHY,37.568935,105.15253
Zhoubai Airport,Zhoubai,Asia,China,JIQ,29.517557,108.829185
Batumi,Batumi,Asia,Georgia,BUS,41.610833,41.600556
Kutaisi,Kutaisi,Asia,Georgia,KUT,42.176285,42.479925
Tbilisi,Tbilisi,Asia,Georgia,TBS,41.666667,44.95
Agra,Agra,Asia,India,AGR,27.158333,77.962778
Agatti island,Agatti Island,Asia,India,AGX,10.8237,72.176
Aizawl,Aizawl,Asia,India,AJL,23.75,92.75
Ahmedabad,Ahmedabad,Asia,India,AMD,23.066389,72.624167
Amritsar,Amritsar,Asia,India,ATQ,31.706944,74.797222
Bhubaneswar,Bhubaneswar,Asia,India,BBI,20.243611,85.82
Vadodara,Vadodara,Asia,India,BDQ,22.329167,73.220833
Bhuj,Bhuj,Asia,India,BHJ,23.2875,69.670556
Bhopal,Bhopal,Asia,India,BHO,23.284722,77.338611
Bhavnagar,Bhavnagar,Asia,India,BHU,21.755,72.184444
Bengaluru,Bengaluru,Asia,India,BLR,13.199588,77.705269
Mumbai,Mumbai,Asia,India,BOM,19.088056,72.851667
Bhatinda,Bhatinda,Asia,India,BUP,30.166667,74.966667
Kozhikode,Kozhikode,Asia,India,CCJ,11.133333,75.95
Kolkata,Kolkata,Asia,India,CCU,22.6525,88.449167
Kadapa,Kadapa,Asia,India,CDP,14.516667,78.783333
Coimbatore,Coimbatore,Asia,India,CJB,11.028333,77.043333
Kochi,Kochi,Asia,India,COK,9.944444,76.271944
Dehradun,Dehradun,Asia,India,DED,30.316667,78.033333
New Delhi,New Delhi,Asia,India,DEL,28.573611,77.100833
Dharamsala,Dharamsala,Asia,India,DHM,32.3,76.266667
Dibrugarh,Dibrugarh,Asia,India,DIB,27.483889,95.020833
Diu,Diu,Asia,India,DIU,20.716667,70.916667
Dimapur,Dimapur,Asia,India,DMU,25.883889,93.773611
Guwahati,Guwahati,Asia,India,GAU,26.104167,91.5875
Gaya,Gaya,Asia,India,GAY,24.746667,84.945833
Goa,Goa,Asia,India,GOI,15.383333,73.833333
Gorakhpur,Gorakhpur,Asia,India,GOP,26.73971,83.44971
Gwalior,Gwalior,Asia,India,GWL,26.293889,78.23
Hubli,Hubli,Asia,India,HBX,15.333333,75.233333
Khajuraho,Khajuraho,Asia,India,HJR,24.824167,79.922778
Hyderabad,Hyderabad,Asia,India,HYD,17.230538,78.430281
Indore,Indore,Asia,India,IDR,22.723056,75.805556
Imphal,Imphal,Asia,India,IMF,24.766667,93.9
Agartala,Agartala,Asia,India,IXA,23.89,91.242222
Bagdogra,Bagdogra,Asia,India,IXB,26.683333,88.333333
Chandigarh,Chandigarh,Asia,India,IXC,30.671944,76.790556
Allahabad,Allahabad,Asia,India,IXD,25.439722,81.736111
Mangalore,Mangalore,Asia,India,IXE,12.963889,74.893889
Belgaum,Belgaum,Asia,India,IXG,15.858611,74.618333
Lilabari,Lilabari,Asia,India,IXI,27.290278,94.088889
Jammu,Jammu,Asia,India,IXJ,32.690278,74.838889
Leh,Leh,Asia,India,IXL,34.166667,77.583333
Madurai,Madurai,Asia,India,IXM,9.8325,78.088056
Ranchi,Ranchi,Asia,India,IXR,23.314444,85.323611
Silchar,Silchar,Asia,India,IXS,24.912222,92.981389
Aurangabad,Aurangabad,Asia,India,IXU,19.863611,75.401111
Port blair,Port Blair,Asia,India,IXZ,11.648333,92.743611
Jaipur,Jaipur,Asia,India,JAI,26.821667,75.806111
Jodhpur,Jodhpur,Asia,India,JDH,26.260556,73.047778
Jamnagar,Jamnagar,Asia,India,JGA,22.463333,70.011944
Jabalpur,Jabalpur,Asia,India,JLR,23.17782,80.05205
Jorhat,Jorhat,Asia,India,JRH,26.728611,94.177778
Jaisalmer,Jaisalmer,Asia,India,JSA,26.916667,70.9
Kanpur,Kanpur,Asia,India,KNU,26.402778,80.4125
Kulu,Kulu,Asia,India,KUU,31.983333,77.1
Lucknow,Lucknow,Asia,India,LKO,26.760278,80.880278
Ludhiana,Ludhiana,Asia,India,LUH,30.9,75.85
Chennai,Chennai,Asia,India,MAA,12.993333,80.176944
Nagpur,Nagpur,Asia,India,NAG,21.091111,79.049722
Patna,Patna,Asia,India,PAT,25.590556,85.09
Porbandar,Porbandar,Asia,India,PBD,21.647222,69.656944
Pantnagar,Pantnagar,Asia,India,PGH,29.031944,79.473611
Pune,Pune,Asia,India,PNQ,18.581389,73.920556
Rajkot,Rajkot,Asia,India,RAJ,22.305833,70.780833
Rajahmundry,Rajahmundry,Asia,India,RJA,16.983333,81.783333
Raipur,Raipur,Asia,India,RPR,21.1804,81.7388
Rupsi,Rupsi,Asia,India,RUP,26.15,89.916667
Shillong,Shillong,Asia,India,SHL,25.566667,91.883333
Surat,Surat,Asia,India,STV,21.1141,72.7418
Srinagar,Srinagar,Asia,India,SXR,33.988056,74.775278
Tuticorin,Tuticorin,Asia,India,TCR,8.716667,78.033333
Tezpur,Tezpur,Asia,India,TEZ,26.710833,92.796111
Tirupati,Tirupati,Asia,India,TIR,13.633333,79.55
Thiruvananthapuram,Thiruvananthapuram,Asia,India,TRV,8.479722,76.919722
Tiruchirapalli,Tiruchirapalli,Asia,India,TRZ,10.765,78.713333
Udaipur,Udaipur,Asia,India,UDR,24.615,73.896111
Vijayawada,Vijayawada,Asia,India,VGA,16.529444,80.797222
Varanasi,Varanasi,Asia,India,VNS,25.451944,82.863056
Visakhapatnam,Visakhapatnam,Asia,India,VTZ,17.721111,83.224722
Shizuoka,Shizuoka,Asia,Japan,FSZ,34.7961,138.1894
Omitama,Omitama,Asia,Japan,IBR,36.181667,140.41472
Iwakuni,Iwakuni,Asia,Japan,IWK,34.158587,132.236674
Asahikawa,Asahikawa,Asia,Japan,AKJ,43.666667,142.45
Amakusa Airport,Amakusa,Asia,Japan,AXJ,32.48276,130.158674
Aomori,Aomori,Asia,Japan,AOJ,40.733333,140.7
Amami O Shima,Amami O Shima,Asia,Japan,ASJ,28.416944,129.6975
Akita,Akita,Asia,Japan,AXT,39.615556,140.218611
Fukushima,Fukushima,Asia,Japan,FKS,37.226667,140.432778
Fukue,Fukue,Asia,Japan,FUJ,32.666667,128.833333
Fukuoka,Fukuoka,Asia,Japan,FUK,33.582222,130.453333
Yamagata,Yamagata,Asia,Japan,GAJ,38.4,140.383333
Hachijo Jima,Hachijo Jima,Asia,Japan,HAC,33.113333,139.790556
Hiroshima International,Hiroshima,Asia,Japan,HIJ,34.432778,132.924722
Hakodate,Hakodate,Asia,Japan,HKD,41.768889,140.819722
Hanamaki,Hanamaki,Asia,Japan,HNA,39.42861,141.13528
Saga,Saga,Asia,Japan,HSG,33.146389,130.304444
Iki,Iki,Asia,Japan,IKI,33.745556,129.788333
Ishigaki,Ishigaki,Asia,Japan,ISG,24.336944,124.168889
Iwami,Iwami,Asia,Japan,IWJ,34.673056,131.792778
Izumo,Izumo,Asia,Japan,IZO,35.409444,132.889444
Kochi,Kochi,Asia,Japan,KCZ,33.541111,133.676944
Niigata,Niigata,Asia,Japan,KIJ,37.953333,139.1225
Kita Kyushu,Kita Kyushu,Asia,Japan,KKJ,33.833056,130.949444
Kikaiga Shima,Kikaiga Shima,Asia,Japan,KKX,28.433333,130.008333
Miyazaki,Miyazaki,Asia,Japan,KMI,31.874444,131.443889
Kumamoto,Kumamoto,Asia,Japan,KMJ,32.831944,130.8525
Komatsu,Komatsu,Asia,Japan,KMQ,36.393889,136.416944
Kagoshima,Kagoshima,Asia,Japan,KOJ,31.801944,130.720278
Kitadaito,Kitadaito,Asia,Japan,KTD,25.95,131.3
Kushiro,Kushiro,Asia,Japan,KUH,43.039722,144.203889
Yakushima,Yakushima,Asia,Japan,KUM,30.333333,130.633333
Monbetsu,Monbetsu,Asia,Japan,MBE,44.266667,143.383333
Memanbetsu,Memanbetsu,Asia,Japan,MMB,43.9,144.167222
Minami Daito,Minami Daito,Asia,Japan,MMD,25.841389,131.247222
Matsumoto,Matsumoto,Asia,Japan,MMJ,36.166667,137.922778
Miyako Jima,Miyako Jima,Asia,Japan,MMY,24.780833,125.297222
Misawa,Misawa,Asia,Japan,MSJ,40.700278,141.371944
Matsuyama,Matsuyama,Asia,Japan,MYJ,33.822222,132.704167
Nagoya Chubu Centrair,Nagoya,Asia,Japan,NGO,34.859876,136.807337
Nagoya Komaki Air Force Base,Nagoya,Asia,Japan,NKM,35.2517,136.9275
Nagasaki,Nagasaki,Asia,Japan,NGS,32.911944,129.9175
Wajima,Wajima,Asia,Japan,NTQ,37.290278,136.965278
Obihiro,Obihiro,Asia,Japan,OBO,42.733333,143.217222
Yonaguni Jima,Yonaguni Jima,Asia,Japan,OGN,24.461111,122.976389
Oshima,Oshima,Asia,Japan,OIM,34.779167,139.365
Okushiri,Okushiri,Asia,Japan,OIR,42.07167,139.43291
Oita,Oita,Asia,Japan,OIT,33.483333,131.733333
Okinawa Naha,Okinawa,Asia,Japan,OKA,26.2,127.65
Okino Erabu,Okino Erabu,Asia,Japan,OKE,27.433333,128.616667
Oki Island,Oki Island,Asia,Japan,OKI,36.166667,133.316667
Okayama,Okayama,Asia,Japan,OKJ,34.756944,133.855278
Odate Noshiro,Odate Noshiro,Asia,Japan,ONJ,40.189167,140.375278
Rishiri,Rishiri,Asia,Japan,RIS,45.183333,141.25
Yoronjima,Yoronjima,Asia,Japan,RNJ,27.033333,128.433333
Sendai,Sendai,Asia,Japan,SDJ,38.135556,140.923889
Nakashibetsu,Nakashibetsu,Asia,Japan,SHB,43.566667,144.966667
Shirahama,Shirahama,Asia,Japan,SHM,33.661389,135.358056
Shonai,Shonai,Asia,Japan,SYO,38.809444,139.790556
Takamatsu,Takamatsu,Asia,Japan,TAK,34.214167,134.015556
Tokunoshima,Tokunoshima,Asia,Japan,TKN,27.833333,128.883333
Tokushima,Tokushima,Asia,Japan,TKS,34.129722,134.601667
Tanegashima,Tanegashima,Asia,Japan,TNE,30.541111,130.954167
Toyama,Toyama,Asia,Japan,TOY,36.644167,137.188889
Taramajima,Taramajima,Asia,Japan,TRA,24.65,124.7
Tsushima,Tsushima,Asia,Japan,TSJ,34.283333,129.316667
Tottori,Tottori,Asia,Japan,TTJ,35.526667,134.170278
Yamaguchi Ube,Ube,Asia,Japan,UBJ,33.925833,131.274444
Kumejima,Kumejima,Asia,Japan,UEO,26.365278,126.719444
Kobe,Kobe,Asia,Japan,UKB,34.75,135.166667
Wakkanai,Wakkanai,Asia,Japan,WKJ,45.404167,141.800833
Yonago,Yonago,Asia,Japan,YGJ,35.491389,133.242222
Osaka Itami,Osaka,Asia,Japan,ITM,34.781667,135.441667
Osaka Kansai International,Osaka,Asia,Japan,KIX,34.423889,135.246944
Sapporo Chitose,Sapporo,Asia,Japan,CTS,42.795833,141.669167
Sapporo Okadama,Sapporo,Asia,Japan,OKD,43.115556,141.385
Tokyo Haneda,Tokyo,Asia,Japan,HND,35.553611,139.765833
Tokyo Narita,Tokyo,Asia,Japan,NRT,35.763889,140.391111
Bishkek,Bishkek,Asia,Kyrgyzstan,FRU,43.061389,74.4775
Osh,Osh,Asia,Kyrgyzstan,OSS,40.616667,72.816667
Pyongyang,Pyongyang,Asia,North Korea,FNJ,39.2,125.666667
Cheongju,Cheongju,Asia,South Korea,CJJ,36.716667,127.506667
Jeju,Jeju,Asia,South Korea,CJU,33.505556,126.495
Jinju,Jinju,Asia,South Korea,HIN,35.088056,128.078056
Pohang,Pohang,Asia,South Korea,KPO,35.986111,129.42
Gunsan,Gunsan,Asia,South Korea,KUV,35.983333,126.75
Gwangju,Gwangju,Asia,South Korea,KWJ,35.123333,126.810833
Gwangju Muan International,Gwangju,Asia,South Korea,MWX,35.1667,126.9167
Gimhae International,Busan,Asia,South Korea,PUS,35.179444,128.938333
Yeosu,Yeosu,Asia,South Korea,RSU,34.84233,127.61685
Seoul Gimpo,Seoul,Asia,South Korea,GMP,37.551111,126.785278
Seoul Incheon Int'l,Seoul,Asia,South Korea,ICN,37.469167,126.450556
Samcheok,Samcheok,Asia,South Korea,SUK,37.494444,129.136944
Suncheon,Suncheon,Asia,South Korea,SYS,34.833889,127.616944
