Airport,Airport_ID,City,Continent,Country,IATA/FAA,Latitude,Longitude
Memmingen Allgäu,781,Memmingen,Europe,Germany,FMM,47.9925,10.243611
Munich,782,Munich,Europe,Germany,MUC,48.35,11.783333
Munster Osnabruck,783,Munster,Europe,Germany,FMO,52.133333,7.683333
Nuremberg,784,Nuremberg,Europe,Germany,NUE,49.5,11.083333
Paderborn,785,Paderborn,Europe,Germany,PAD,51.615,8.621111
Rostock,786,Rostock,Europe,Germany,RLG,53.92,12.266667
Saarbruecken,787,Saarbruecken,Europe,Germany,SCN,49.215579,7.110214
Zweibrücken,788,Saarbruecken,Europe,Germany,ZQW,49.209525,7.400647
Stuttgart,789,Stuttgart,Europe,Germany,STR,48.688333,9.21
Westerland,790,Westerland,Europe,Germany,GWT,54.9132,8.3403
Wyk Auf Foehr,791,Wyk Auf Foehr,Europe,Germany,OHR,54.685833,8.529167
Aalborg,792,Aalborg,Europe,Denmark,AAL,57.093056,9.85
Aarhus,793,Aarhus,Europe,Denmark,AAR,56.310278,10.618056
Billund,794,Billund,Europe,Denmark,BLL,55.738333,9.15
Copenhagen,795,Copenhagen,Europe,Denmark,CPH,55.608056,12.633333
Esbjerg,796,Esbjerg,Europe,Denmark,EBJ,55.526389,8.5525
Karup,797,Karup,Europe,Denmark,KRP,56.3,9.116667
Odense,798,Odense,Europe,Denmark,ODE,55.476389,10.328611
Ronne Bornholm,799,Ronne Bornholm,Europe,Denmark,RNN,55.065556,14.757778
Sonderborg,800,Sonderborg,Europe,Denmark,SGD,54.964367,9.791731
Kardla,801,Kardla,Europe,Estonia,KDL,58.983333,22.8
Kuressaare,802,Kuressaare,Europe,Estonia,URE,58.216667,22.5
Tallinn,803,Tallinn,Europe,Estonia,TLL,59.413317,24.832844
Tartu,804,Tartu,Europe,Estonia,TAY,58.3075,26.690556
Alicante,805,Alicante,Europe,Spain,ALC,38.283333,-0.566667
Almeria,806,Almeria,Europe,Spain,LEI,36.844444,-2.372222
Lanzarote,807,Lanzarote,Europe,Spain,ACE,28.950795,-13.605666
Asturias,808,Asturias,Europe,Spain,OVD,43.566667,-6.033333
Badajoz,809,Badajoz,Europe,Spain,BJZ,38.891667,-6.82
Barcelona,810,Barcelona,Europe,Spain,BCN,41.302778,2.094444
Bilbao,811,Bilbao,Europe,Spain,BIO,43.302778,-2.921667
Castellon de la Plana,812,Castellon de la Plana,Europe,Spain,CDT,40.213889,0.073333
Fuerteventura,813,Fuerteventura,Europe,Spain,FUE,28.452717,-13.863761
Girona,814,Girona,Europe,Spain,GRO,41.909167,2.763333
Gran Canaria Las Palmas,815,Gran Canaria,Europe,Spain,LPA,27.9325,-15.3847
Granada,816,Granada,Europe,Spain,GRX,37.187778,-3.780556
Ibiza,817,Ibiza,Europe,Spain,IBZ,38.873611,1.372778
Jerez,818,Jerez,Europe,Spain,XRY,36.745278,-6.058889
La Coruna,819,La Coruna,Europe,Spain,LCG,43.299444,-8.379167
La Gomera Tenerife,820,La Gomera Tenerife,Europe,Spain,GMZ,28.016667,-17.2
La Palma,821,La Palma,Europe,Spain,SPC,28.620833,-17.754167
Leon,822,Leon,Europe,Spain,LEN,42.584444,-5.650833
Lleida,823,Lleida,Europe,Spain,ILD,41.7278,0.5358
Logrono,824,Logrono,Europe,Spain,RJL,42.456944,-2.323611
Madrid,825,Madrid,Europe,Spain,MAD,40.472222,-3.563333
Malaga,826,Malaga,Europe,Spain,AGP,36.671667,-4.498056
Melilla,827,Melilla,Europe,Spain,MLN,35.28,-2.955556
Menorca,828,Menorca,Europe,Spain,MAH,39.861389,4.215278
Murcia,829,Murcia,Europe,Spain,MJV,37.774722,-0.811111
Palma - Majorca,830,Palma,Europe,Spain,PMI,39.5536,2.7278
Pamplona,831,Pamplona,Europe,Spain,PNA,42.769444,-1.644444
Reus,832,Reus,Europe,Spain,REU,41.15,1.169444
Burgos,833,Burgos,Europe,Spain,RGS,42.357275,-3.621025
Salamanca Matacan,834,Salamanca,Europe,Spain,SLM,40.952117,-5.501986
Santiago de Compostela,835,Santiago de Compostela,Europe,Spain,SCQ,42.9,-8.4168
San Sebastian,836,San Sebastian,Europe,Spain,EAS,43.357778,-1.79
Santander,837,Santander,Europe,Spain,SDR,43.429167,-3.826389
Seville,838,Seville,Europe,Spain,SVQ,37.415,-5.8975
Tenerife North,839,Tenerife,Europe,Spain,TFN,28.473056,-16.332778
Tenerife South,840,Tenerife,Europe,Spain,TFS,28.05,-16.566667
Valencia,841,Valencia,Europe,Spain,VLC,39.490278,-0.478611
Valladolid,842,Valladolid,Europe,Spain,VLL,41.7,-4.85
Valverde Hierro,843,Valverde Hierro,Europe,Spain,VDE,27.812778,-17.885278
Vigo,844,Vigo,Europe,Spain,VGO,42.226389,-8.627778
Vitoria,845,Vitoria,Europe,Spain,VIT,42.882836,-2.724469
Zaragoza,846,Zaragoza,Europe,Spain,ZAZ,41.663423,-1.011086
Enontekio,847,Enontekio,Europe,Finland,ENF,68.35,23.416667
Helsinki Vantaa,848,Helsinki,Europe,Finland,HEL,60.325556,24.971667
Ivalo,849,Ivalo,Europe,Finland,IVL,68.611111,27.415556
Joensuu,850,Joensuu,Europe,Finland,JOE,62.6625,29.608889
Jyvaskyla,851,Jyvaskyla,Europe,Finland,JYV,62.399167,25.681944
Kajaani,852,Kajaani,Europe,Finland,KAJ,64.277778,27.688889
Kemi / Tornio,853,Kemi / Tornio,Europe,Finland,KEM,65.78,24.585833
Kittilä,854,Kittilä,Europe,Finland,KTT,67.701,24.8469
Kokkola / Pietarsaari Kruunupyy,855,Kokkola / Pietarsaari Kruunupyy,Europe,Finland,KOK,63.716667,23.15
Kuopio,856,Kuopio,Europe,Finland,KUO,63.005556,27.798333
Kuusamo,857,Kuusamo,Europe,Finland,KAO,65.990278,29.233889
Lappeenranta,858,Lappeenranta,Europe,Finland,LPP,61.046111,28.156667
Mariehamn,859,Mariehamn,Europe,Finland,MHQ,60.123333,19.896667
Oulu,860,Oulu,Europe,Finland,OUL,64.929167,25.358333
Pori,861,Pori,Europe,Finland,POR,61.463056,21.797222
Rovaniemi,862,Rovaniemi,Europe,Finland,RVN,66.563056,25.826667
Savonlinna,863,Savonlinna,Europe,Finland,SVL,61.95,28.95
Seinajoki Ilmajoki,864,Seinajoki Ilmajoki,Europe,Finland,SJY,62.693333,22.831667
Tampere,865,Tampere,Europe,Finland,TMP,61.463889,23.738889
Turku,866,Turku,Europe,Finland,TKU,60.514167,22.270556
Vaasa,867,Vaasa,Europe,Finland,VAA,63.045,21.761389
Sorvagur,868,Sorvagur,Europe,Faroe Islands,FAE,62.066667,-7.266667
Agen,869,Agen,Europe,France,AGF,44.173611,0.598611
Aix en Provence,870,Aix en Provence,Europe,France,QXB,43.50555,5.36778
Ajaccio,871,Ajaccio,Europe,France,AJA,41.924167,8.803056
Angers,872,Angers,Europe,France,ANE,47.56254,-0.31268
Aurillac Tronquiere,873,Aurillac Tronquiere,Europe,France,AUR,44.8975,2.418056
Avignon,874,Avignon,Europe,France,AVN,43.9,4.9
Bastia - Corsica,875,Bastia - Corsica,Europe,France,BIA,42.549167,9.486111
Bergerac,876,Bergerac,Europe,France,EGC,44.825279,0.518611
Beziers,877,Beziers,Europe,France,BZR,43.324167,3.354444
Biarritz,878,Biarritz,Europe,France,BIQ,43.469722,-1.522778
Bordeaux,879,Bordeaux,Europe,France,BOD,44.829444,-0.714444
Brest,880,Brest,Europe,France,BES,48.447222,-4.420556
Brive Vallée de la Dordogne,881,Brive Vallée de la Dordogne,Europe,France,BVE,45.040355,1.483498
Caen,882,Caen,Europe,France,CFR,49.173333,-0.448056
Calvi,883,Calvi,Europe,France,CLY,42.527778,8.791667
Carcassonne,884,Carcassonne,Europe,France,CCF,43.2167,2.3167
Castres Mazamet,885,Castres Mazamet,Europe,France,DCM,43.555833,2.284167
Chambery,886,Chambery,Europe,France,CMF,45.639968,5.879745
Chateauroux,887,Chateauroux,Europe,France,CHR,46.862222,1.730556
Clermont-Ferrand,888,Clermont-Ferrand,Europe,France,CFE,45.785833,3.1675
Deauville St. Gatien,889,Deauville St. Gatien,Europe,France,DOL,49.362778,0.164167
Dijon,890,Dijon,Europe,France,DIJ,47.2708,5.0889
Dinard,891,Dinard,Europe,France,DNR,48.5878,-2.0836
Dole Tavaux,892,Dole Tavaux,Europe,France,DLE,47.05,5.433333
Epinal Mirecourt,893,Epinal Mirecourt,Europe,France,EPL,48.325833,6.069444
Figari Sud Corse,894,Figari,Europe,France,FSC,41.503178,9.098396
Grenoble,895,Grenoble,Europe,France,GNB,45.362778,5.329722
Lannion,896,Lannion,Europe,France,LAI,48.755114,-3.475285
La Rochelle,897,La Rochelle,Europe,France,LRH,46.180556,-1.185833
Le Mans Arnage,898,Le Mans,Europe,France,LME,47.948611,0.201667
Le Puy Loudes,899,Le Puy Loudes,Europe,France,LPY,45.083333,3.766667
Le Touquet Paris Plag,900,Le Touquet Paris Plag,Europe,France,LTQ,50.515,1.628056
Lille,901,Lille,Europe,France,LIL,50.564444,3.088056
Limoges,902,Limoges,Europe,France,LIG,45.861944,1.182222
Lorient,903,Lorient,Europe,France,LRT,47.761111,-3.439167
Lourdes,904,Lourdes,Europe,France,LDE,43.181944,-0.003611
Lyon,905,Lyon,Europe,France,LYS,45.725556,5.081667
Marseille,906,Marseille,Europe,France,MRS,43.4356,5.2164
Mende,907,Mende,Europe,France,MEN,44.5,3.533333
Metz / Nancy Lorraine,908,Metz,Europe,France,ETZ,48.979167,6.247778
Montpellier,909,Montpellier,Europe,France,MPL,43.580833,3.9675
Mulhouse,910,Mulhouse,Europe,France,MLH,47.589583,7.529914
Nantes,911,Nantes,Europe,France,NTE,47.158333,-1.609722
Nice,912,Nice,Europe,France,NCE,43.663889,7.2175
Nimes,913,Nimes,Europe,France,FNI,43.75,4.416667
Paris Beauvais,914,Paris,Europe,France,BVA,49.455833,2.1125
Paris Charles de Gaulle,915,Paris,Europe,France,CDG,49.009722,2.548611
Paris Orly,916,Paris,Europe,France,ORY,48.728889,2.357222
Pau,917,Pau,Europe,France,PUF,43.38,-0.417778
Perigueux,918,Perigueux,Europe,France,PGX,45.197462,0.815392
Perpignan,919,Perpignan,Europe,France,PGF,42.740833,2.871667
Poitiers,920,Poitiers,Europe,France,PIS,46.586111,0.306389
Quimper,921,Quimper,Europe,France,UIP,47.974444,-4.170833
Reims,922,Reims,Europe,France,RHE,49.310833,4.050556
Rennes,923,Rennes,Europe,France,RNS,48.068611,-1.731389
Rodez,924,Rodez,Europe,France,RDZ,44.407869,2.482672
Rouen,925,Rouen,Europe,France,URO,49.388611,1.1875
St Etienne,926,St Etienne,Europe,France,EBU,45.541389,4.296944
St. Nazaire Montoir,927,St. Nazaire Montoir,Europe,France,SNR,47.310664,-2.147827
Strasbourg,928,Strasbourg,Europe,France,SXB,48.533333,7.633333
Toulon-Hyères,929,Toulon,Europe,France,TLN,43.1,6.15
Tours,930,Tours,Europe,France,TUF,47.428333,0.7275
Toulouse,931,Toulouse,Europe,France,TLS,43.630278,1.365
Châlons-en-Champagne,932,Châlons-en-Champagne,Europe,France,XCR,48.7678,4.2011
Guernsey,933,Guernsey,Europe,Guernsey,GCI,49.436111,-2.602778
Gibraltar,934,Gibraltar,Europe,Gibraltar,GIB,36.15,-5.347222
Alexandroupolis Dimokritos,935,Alexandroupolis Dimokritos,Europe,Greece,AXD,40.8556,25.95
Araxos,936,Araxos,Europe,Greece,GPA,38.151111,21.425556
Argostoli Kefalonia,937,Argostoli,Europe,Greece,EFL,38.118056,20.505556
Astypalaia,938,Astypalaia,Europe,Greece,JTY,36.566667,26.366667
Athens International,939,Athens,Europe,Greece,ATH,37.936358,23.944467
Chios,940,Chios,Europe,Greece,JKH,38.345,26.141667
Corfu,941,Corfu,Europe,Greece,CFU,39.601389,19.910278
Crete Chania,942,Crete,Europe,Greece,CHQ,35.5325,24.148333
Crete Heraklion,943,Crete,Europe,Greece,HER,35.340278,25.183333
Ikaria,944,Ikaria,Europe,Greece,JIK,37.666667,26.333333
Ioannina,945,Ioannina,Europe,Greece,IOA,39.696667,20.825833
Kalymnos,946,Kalymnos,Europe,Greece,JKL,36.963333,26.940556
Kalamata International,947,Kalamata,Europe,Greece,KLX,37.056136,22.028704
Karpathos,948,Karpathos,Europe,Greece,AOK,35.416667,27.15
Kasos Island,949,Kasos Island,Europe,Greece,KSJ,35.421389,26.916667
Kastoria Aristotlis,950,Kastoria Aristotlis,Europe,Greece,KSO,40.450833,21.273333
Kastelorizo,951,Kastelorizo,Europe,Greece,KZS,36.141514,29.576483
Kavala Alexandros,952,Kavala,Europe,Greece,KVA,40.91331,24.61922
Kithira,953,Kithira,Europe,Greece,KIT,36.291667,23.025
Kos,954,Kos,Europe,Greece,KGS,36.793056,27.095278
Kozani Philippos,955,Kozani,Europe,Greece,KZI,40.288611,21.841944
Lemnos,956,Lemnos,Europe,Greece,LXS,39.916667,25.25
Leros,957,Leros,Europe,Greece,LRS,37.184903,26.800289
Mykonos,958,Mykonos,Europe,Greece,JMK,37.436111,25.344444
Milos,959,Milos,Europe,Greece,MLO,36.696744,24.476531
Mytilene,960,Mytilene,Europe,Greece,MJT,39.056111,26.599444
Naxos,961,Naxos,Europe,Greece,JNX,37.1,25.383333
Paros,962,Paros,Europe,Greece,PAS,37.010161,25.128137
Preveza,963,Preveza,Europe,Greece,PVK,38.926389,20.765833
Rhodes,964,Rhodes,Europe,Greece,RHO,36.406501,28.08629
Samos,965,Samos,Europe,Greece,SMI,37.688889,26.913889
Sitia,966,Sitia,Europe,Greece,JSH,35.216667,26.116667
Skiathos Island National,967,Skiathos,Europe,Greece,JSI,39.180556,23.505556
Skiros,968,Skiros,Europe,Greece,SKU,38.916667,24.566667
Syros Island,969,Syros Island,Europe,Greece,JSY,37.423611,24.95
Thessaloniki,970,Thessaloniki,Europe,Greece,SKG,40.520833,22.972222
Santorini (Thira),971,Santorini (Thira),Europe,Greece,JTR,36.402959,25.473093
Volos,972,Volos,Europe,Greece,VOL,39.219619,22.794339
Zante (Zakynthos),973,Zante (Zakynthos),Europe,Greece,ZTH,37.7558,20.8883
Bol,974,Bol,Europe,Croatia,BWK,43.283333,16.683333
Dubrovnik,975,Dubrovnik,Europe,Croatia,DBV,42.563333,18.265278
Osijek,976,Osijek,Europe,Croatia,OSI,45.462667,18.810156
Pula,977,Pula,Europe,Croatia,PUY,44.891667,13.923611
Rijeka,978,Rijeka,Europe,Croatia,RJK,45.215833,14.568333
Split,979,Split,Europe,Croatia,SPU,43.537888,16.299187
Zadar,980,Zadar,Europe,Croatia,ZAD,44.097778,15.356667
Zagreb,981,Zagreb,Europe,Croatia,ZAG,45.743056,16.070278
Budapest,982,Budapest,Europe,Hungary,BUD,47.433333,19.233333
Debrecen,983,Debrecen,Europe,Hungary,DEB,47.55,21.7
Miskolc,984,Miskolc,Europe,Hungary,MCQ,48.116667,20.833333
Pecs,985,Pecs,Europe,Hungary,PEV,45.99083,18.24083
Balaton,986,Balaton,Europe,Hungary,SOB,46.686,17.159
Szeged,987,Szeged,Europe,Hungary,QZD,46.25083,20.08917
Cork,988,Cork,Europe,Ireland,ORK,51.843333,-8.490278
Donegal,989,Donegal,Europe,Ireland,CFN,55.041667,-8.340278
Dublin,990,Dublin,Europe,Ireland,DUB,53.4325,-6.252222
Kerry,991,Kerry,Europe,Ireland,KIR,52.180878,-9.523783
Knock,992,Knock,Europe,Ireland,NOC,53.913203,-8.811254
Shannon,993,Shannon,Europe,Ireland,SNN,52.700556,-8.918611
Spiddal Connemara,994,Spiddal Connemara,Europe,Ireland,NNR,53.216667,-9.466667
Alghero Sardinia,995,Alghero Sardinia,Europe,Italy,AHO,40.630556,8.288889
Ancona,996,Ancona,Europe,Italy,AOI,43.616342,13.362319
Bari,997,Bari,Europe,Italy,BRI,41.141111,16.788333
Bologna International,998,Bologna,Europe,Italy,BLQ,44.530556,11.2925
Brindisi,999,Brindisi,Europe,Italy,BDS,40.658056,17.946667
Cagliari,1000,Cagliari,Europe,Italy,CAG,39.247222,9.061111
Catania Fontanarossa,1001,Catania,Europe,Italy,CTA,37.466139,15.062943
Comiso,1002,Comiso,Europe,Italy,CIY,36.991667,14.606945
Crotone,1003,Crotone,Europe,Italy,CRV,39,17.083333
Cuneo Levaldigi,1004,Cuneo,Europe,Italy,CUF,44.545585,7.62125
Elba Island,1005,Elba Island,Europe,Italy,EBA,42.7615,10.2394
Florence,1006,Florence,Europe,Italy,FLR,43.810278,11.197778
Florence,1007,Florence,Europe,Italy,ZMS,43.8,11.2028
Foggia Gino Lisa,1008,Foggia Gino Lisa,Europe,Italy,FOG,41.426667,15.539444
Genoa,1009,Genoa,Europe,Italy,GOA,44.413056,8.837778
Lampedusa,1010,Lampedusa,Europe,Italy,LMP,35.5,12.616667
Lamezia Terme,1011,Lamezia Terme,Europe,Italy,SUF,38.907064,16.240883
Milan Bergamo,1012,Milan,Europe,Italy,BGY,45.668333,9.700278
Milan Linate,1013,Milan,Europe,Italy,LIN,45.441667,9.277778
Milan Malpensa,1014,Milan,Europe,Italy,MXP,45.633333,8.716667
Naples International,1015,Naples,Europe,Italy,NAP,40.886111,14.291667
Naples Beverello Harbor,1016,Naples,Europe,Italy,ZMF,40.667222,13.933889
Naples Merglna Rr,1017,Naples,Europe,Italy,ZMI,40.8833,14.2861
Olbia,1018,Olbia,Europe,Italy,OLB,40.898593,9.51725
Palermo,1019,Palermo,Europe,Italy,PMO,38.166667,13.1
Pantelleria,1020,Pantelleria,Europe,Italy,PNL,36.813611,11.966111
Parma,1021,Parma,Europe,Italy,PMF,44.823491,10.295906
Perugia Santegidio,1022,Perugia,Europe,Italy,PEG,43.096721,12.513428
Pescara,1023,Pescara,Europe,Italy,PSR,42.433889,14.184444
Pisa,1024,Pisa,Europe,Italy,PSA,43.680556,10.392778
Reggio Calabria,1025,Reggio Calabria,Europe,Italy,REG,38.075278,15.650833
Rimini,1026,Rimini,Europe,Italy,RMI,44.020833,12.612222
Rome Ciampino,1027,Rome,Europe,Italy,CIA,41.799444,12.593333
Rome Fiumicino,1028,Rome,Europe,Italy,FCO,41.800278,12.238889
San Domino Island,1029,San Domino Island,Europe,Italy,TQR,42.116667,15.483333
Trapani Birgi,1030,Trapani Birgi,Europe,Italy,TPS,37.911667,12.486389
Trieste,1031,Trieste,Europe,Italy,TRS,45.833333,13.466667
Turin,1032,Turin,Europe,Italy,TRN,45.201111,7.648056
Venice Treviso,1033,Venice,Europe,Italy,TSF,45.6484,12.194422
Venice Marco Polo,1034,Venice,Europe,Italy,VCE,45.5,12.35
Verona Brescia,1035,Verona,Europe,Italy,VBS,45.428611,10.331388
Verona International,1036,Verona,Europe,Italy,VRN,45.395706,10.888533
Vieste,1037,Vieste,Europe,Italy,VIF,41.885278,16.176944
Pristina,1038,Pristina,Europe,Kosovo,PRN,42.573611,21.035556
Kaunas,1039,Kaunas,Europe,Lithuania,KUN,54.963919,24.084778
Palanga International,1040,Palanga,Europe,Lithuania,PLQ,55.95,21.083333
Vilnius,1041,Vilnius,Europe,Lithuania,VNO,54.633333,25.283333
Luxembourg,1042,Luxembourg,Europe,Luxembourg,LUX,49.627778,6.206667
Liepaya,1043,Liepaya,Europe,Latvia,LPX,56.516667,21.1
Riga International,1044,Riga,Europe,Latvia,RIX,56.925,23.972222
Monte Carlo,1045,Monte Carlo,Europe,Monaco,MCM,43.733333,7.416667
Chisinau,1046,Chisinau,Europe,Moldova,KIV,46.916667,28.933333
Podgorica,1047,Podgorica,Europe,Montenegro,TGD,42.358333,19.251944
Tivat,1048,Tivat,Europe,Montenegro,TIV,42.403611,18.725556
Ohrid,1049,Ohrid,Europe,Republic of Macedonia,OHD,41.185,20.743056
Skopje,1050,Skopje,Europe,Republic of Macedonia,SKP,41.966667,21.633333
Luqa Malta International,1051,Luqa,Europe,Malta,MLA,35.857497,14.4775
Amsterdam,1052,Amsterdam,Europe,Netherlands,AMS,52.308333,4.768056
Eindhoven,1053,Eindhoven,Europe,Netherlands,EIN,51.453333,5.388889
Groningen,1054,Groningen,Europe,Netherlands,GRQ,53.120278,6.575556
Maastricht,1055,Maastricht,Europe,Netherlands,MST,50.911111,5.773611
Rotterdam,1056,Rotterdam,Europe,Netherlands,RTM,51.958333,4.444444
Aalesund Vigra,1057,Aalesund Vigra,Europe,Norway,AES,62.5625,6.105278
Alta,1058,Alta,Europe,Norway,ALF,69.979019,23.354187
Andenes,1059,Andenes,Europe,Norway,ANX,69.293056,16.141667
Bardufoss,1060,Bardufoss,Europe,Norway,BDU,69.056111,18.54
Batsfjord,1061,Batsfjord,Europe,Norway,BJF,70.6,29.666667
Bergen,1062,Bergen,Europe,Norway,BGO,60.293611,5.219444
Berlevag,1063,Berlevag,Europe,Norway,BVG,70.866667,29
Bodo,1064,Bodo,Europe,Norway,BOO,67.269167,14.372222
Bronnoysund Bronnoy,1065,Bronnoysund Bronnoy,Europe,Norway,BNN,65.460278,12.206944
Evenes,1066,Evenes,Europe,Norway,EVE,68.496667,16.679722
Fagernes Valdres,1067,Fagernes Valdres,Europe,Norway,VDB,61.015556,9.288056
Floro,1068,Floro,Europe,Norway,FRO,61.581944,5.014444
Forde Bringeland,1069,Forde,Europe,Norway,FDE,61.392363,5.759411
Hammerfest,1070,Hammerfest,Europe,Norway,HFT,70.679444,23.668333
Hasvik,1071,Hasvik,Europe,Norway,HAA,70.466667,22.15
Haugesund,1072,Haugesund,Europe,Norway,HAU,59.405556,5.279167
Honningsvag Valan,1073,Honningsvag Valan,Europe,Norway,HVG,71.009722,25.983611
Kirkenes Høybuktmoen,1074,Kirkenes Høybuktmoen,Europe,Norway,KKN,69.722778,29.893333
Kristiansund,1075,Kristiansund,Europe,Norway,KSU,63.114722,7.844444
Kristiansand Kjevik,1076,Kristiansand,Europe,Norway,KRS,58.199661,8.079071
Lakselv,1077,Lakselv,Europe,Norway,LKL,70.067778,24.973611
Leknes,1078,Leknes,Europe,Norway,LKN,68.153611,13.608889
Longyearbyen,1079,Longyearbyen,Europe,Norway,LYR,78.246111,15.465556
Mehamn,1080,Mehamn,Europe,Norway,MEH,71.033333,27.833333
Mo I Rana Rossvoll,1081,Mo I Rana Rossvoll,Europe,Norway,MQN,66.366667,14.3
Molde Aro,1082,Molde Aro,Europe,Norway,MOL,62.748611,7.271111
Mosjoen Kjaerstad,1083,Mosjoen Kjaerstad,Europe,Norway,MJF,65.783997,13.214914
Namsos,1084,Namsos,Europe,Norway,OSY,64.466667,11.6
Notodden,1085,Notodden,Europe,Norway,NTB,59.583333,9.283333
Orland,1086,Orland,Europe,Norway,OLA,63.7,9.616667
Orsta / Volda Hovden,1087,Orsta / Volda Hovden,Europe,Norway,HOV,62.183333,6.15
Oslo Gardermoen,1088,Oslo,Europe,Norway,OSL,60.2,11.083333
Oslo Rygge,1089,Oslo,Europe,Norway,RYG,59.3789,10.7856
Oslo Torp,1090,Oslo,Europe,Norway,TRF,59.183333,10.266667
Roervik Ryumsjoen,1091,Roervik Ryumsjoen,Europe,Norway,RVK,64.837262,11.145629
Roros,1092,Roros,Europe,Norway,RRS,62.579167,11.345556
Rost,1093,Rost,Europe,Norway,RET,67.527778,12.103333
Sandane,1094,Sandane,Europe,Norway,SDN,61.830146,6.108913
Sandnessjoen,1095,Sandnessjoen,Europe,Norway,SSJ,65.958333,12.471389
Sogndal Haukasen,1096,Sogndal Haukasen,Europe,Norway,SOG,61.157778,7.136944
Sorkjosen,1097,Sorkjosen,Europe,Norway,SOJ,69.783333,20.933333
Stavanger,1098,Stavanger,Europe,Norway,SVG,58.879722,5.634722
Stokmarknes,1099,Stokmarknes,Europe,Norway,SKN,68.581111,15.027222
Stord,1100,Stord,Europe,Norway,SRP,59.791925,5.34085
Svolvaer,1101,Svolvaer,Europe,Norway,SVJ,68.241667,14.672222
Tromso,1102,Tromso,Europe,Norway,TOS,69.681389,18.921667
Trondheim,1103,Trondheim,Europe,Norway,TRD,63.45,10.933333
Vadso,1104,Vadso,Europe,Norway,VDS,70.065,29.845278
Vaeroy Stolport,1105,Vaeroy Stolport,Europe,Norway,VRY,67.666667,12.683333
Vardoe Lufthaun,1106,Vardoe Lufthaun,Europe,Norway,VAW,70.354722,31.045556
Bydgoszcz,1107,Bydgoszcz,Europe,Poland,BZG,53.096667,17.978611
Lublin,1108,Lublin,Europe,Poland,LUZ,51.231944,22.690278
Gdansk,1109,Gdansk,Europe,Poland,GDN,54.376558,18.470078
Katowice,1110,Katowice,Europe,Poland,KTW,50.473621,19.080591
Krakow,1111,Krakow,Europe,Poland,KRK,50.077731,19.784836
Lodz,1112,Lodz,Europe,Poland,LCJ,51.721944,19.398333
Poznan,1113,Poznan,Europe,Poland,POZ,52.421031,16.826325
Radom,1114,Radom,Europe,Poland,RDO,51.389167,21.213611
Rzeszow,1115,Rzeszow,Europe,Poland,RZE,50.113533,22.026901
Szczecin Goleniow,1116,Szczecin,Europe,Poland,SZZ,53.583333,14.9
Olsztyn-Mazury,1117,Szymany,Europe,Poland,SZY,52.436111,20.938333
Warsaw Chopin,1118,Warsaw,Europe,Poland,WAW,52.166667,20.966667
Warsaw Modlin,1119,Warsaw,Europe,Poland,WMI,52.460298,20.657294
Wroclaw,1120,Wroclaw,Europe,Poland,WRO,51.1,16.883333
Zielona Gora Babimost,1121,Zielona Gora Babimost,Europe,Poland,IEG,52.138517,15.798556
Braganca,1122,Braganca,Europe,Portugal,BGC,41.857799,-6.706477
Corvo Island,1123,Corvo Island,Europe,Portugal,CVU,39.7,-31.1
Faro,1124,Faro,Europe,Portugal,FAO,37.014444,-7.970833
Madeira,1125,Madeira,Europe,Portugal,FNC,32.694167,-16.778056
Graciosa Island,1126,Graciosa Island,Europe,Portugal,GRW,39.092169,-28.029847
Horta,1127,Horta,Europe,Portugal,HOR,38.52,-28.717222
Lisbon,1128,Lisbon,Europe,Portugal,LIS,38.781944,-9.133333
Pico Island,1129,Pico Island,Europe,Portugal,PIX,38.554333,-28.441333
Ponta Delgada,1130,Ponta Delgada,Europe,Portugal,PDL,37.747222,-25.681944
Porto,1131,Porto,Europe,Portugal,OPO,41.243611,-8.679714
Portimao,1132,Portimao,Europe,Portugal,PRM,37.133333,-8.533333
Porto Santo,1133,Porto Santo,Europe,Portugal,PXO,33.067521,-16.349373
San Jorge Island,1134,San Jorge Island,Europe,Portugal,SJZ,38.6655,-28.175817
Flores Island,1135,Flores Island,Europe,Portugal,FLW,39.466667,-31.15
Santa Maria,1136,Santa Maria,Europe,Portugal,SMA,36.97139,-25.170639
Terceira Lajes,1137,Terceira Lajes,Europe,Portugal,TER,38.756667,-27.094167
Vila Real,1138,Vila Real,Europe,Portugal,VRL,41.274629,-7.720835
Viseu G. Lobato,1139,Viseu G. Lobato,Europe,Portugal,VSE,40.65,-7.916667
Arad,1140,Arad,Europe,Romania,ARW,46.183333,21.266667
Bacau International,1141,Bacau,Europe,Romania,BCM,46.521946,26.910278
Baia Mare,1142,Baia Mare,Europe,Romania,BAY,47.65,23.466667
Bucharest Baneasa,1143,Bucharest,Europe,Romania,BBU,44.5,26.1
Bucharest Otopeni,1144,Bucharest,Europe,Romania,OTP,44.566667,26.1
Cluj-Napoca,1145,Cluj-Napoca,Europe,Romania,CLJ,46.783333,23.683333
Constanta Kogalniceanu,1146,Constanta Kogalniceanu,Europe,Romania,CND,44.35,28.483333
Craiova,1147,Craiova,Europe,Romania,CRA,44.318889,23.886389
Iasi,1148,Iasi,Europe,Romania,IAS,47.183333,27.6
Oradea,1149,Oradea,Europe,Romania,OMR,47.0275,21.903056
Satu Mare,1150,Satu Mare,Europe,Romania,SUJ,47.7,22.883333
Sibiu,1151,Sibiu,Europe,Romania,SBZ,45.783333,24.083333
