home,Avg_Score
Sri Lanka Army,128.5
Sri Lanka Ports Authority Cricket Club,117.0
St Kitts and Nevis Patriots,163.5
St Lucia Zouks,151.375
St Vincent,96.0
Stanford Superstars,130.25
State Bank of Pakistan,129.33333333333334
Sui Northern Gas Pipelines Limited,66.0
Sunrisers Hyderabad,150.29861111111111
Surrey,153.97587719298247
Sussex,157.33333333333334
Sydney Sixers,161.66071428571428
Sydney Thunder,160.75
Sylhet Royals,126.0
Sylhet Super Stars,112.0
Tamil Nadu,172.0
Tamil Union Cricket and Athletic Club,158.41666666666669
Tasmania,157.79166666666669
Titans,158.14583333333331
Trinbago Knight Riders,170.0
Trinidad & Tobago,165.875
Trinidad & Tobago Red Steel,151.17857142857144
Udarata Rulers,159.0
Uganda,124.0
United Arab Emirates,137.9
Uthura Rudras,156.0
Uthura Yellows,158.0
Uttar Pradesh,150.125
Uva Next,101.0
Victoria,167.41666666666666
Warriors,145.5575657894737
Warwickshire,157.925
Wayamba,131.75
Wayamba United,156.0
Wellington,173.775
West Indies,132.875
West Indies A,133.625
Western Australia,169.875
Western Province,148.125
Western Troopers,165.0
Worcestershire,170.14385964912282
Yorkshire,159.96764705882353
Zimbabwe,161.0
Zimbabwe XI,157.5
